1,0.1038,0.1919,0.1517,0.1842,0.1842
2,0.1104,0.1963,0.1391,0.1848,0.1848
3,0.12,0.2019,0.1232,0.185,0.185
4,0.1315,0.2079,0.1068,0.1846,0.1846
5,0.1442,0.2135,0.0917,0.1835,0.1835
6,0.1578,0.2186,0.0782,0.1818,0.1818
7,0.172,0.2232,0.0666,0.1794,0.1794
8,0.1869,0.2269,0.0564,0.1766,0.1766
9,0.2025,0.2301,0.0477,0.1732,0.1732
10,0.2187,0.2326,0.0403,0.1695,0.1695
11,0.2354,0.2346,0.0339,0.1654,0.1654
12,0.2528,0.2359,0.0285,0.161,0.161
13,0.2707,0.2366,0.0239,0.1563,0.1563
14,0.289,0.2368,0.02,0.1514,0.1514
15,0.3079,0.2365,0.0167,0.1463,0.1463
16,0.3272,0.2355,0.0139,0.1411,0.1411
17,0.3468,0.2341,0.0116,0.1358,0.1358
18,0.3669,0.2322,0.0096,0.1304,0.1304
19,0.3872,0.2298,0.008,0.125,0.125
20,0.4077,0.227,0.0066,0.1196,0.1196
21,0.4283,0.2237,0.0055,0.1142,0.1142
22,0.449,0.2201,0.0045,0.1088,0.1088
23,0.4698,0.216,0.0037,0.1035,0.1035
24,0.4904,0.2118,0.0031,0.0983,0.0983
25,0.5108,0.2072,0.0025,0.0932,0.0932
26,0.531,0.2023,0.0021,0.0882,0.0882
27,0.551,0.1973,0.0017,0.0834,0.0834
28,0.5706,0.192,0.0014,0.0787,0.0787
29,0.5898,0.1866,0.0012,0.0741,0.0741
30,0.6086,0.1811,0.0009,0.0698,0.0698
31,0.6269,0.1755,0.0008,0.0656,0.0656
32,0.6447,0.1699,0.0006,0.0616,0.0616
33,0.662,0.1642,0.0005,0.0578,0.0578
34,0.6787,0.1585,0.0004,0.0541,0.0541
35,0.6948,0.1529,0.0004,0.0507,0.0507
36,0.7102,0.1473,0.0003,0.0474,0.0474
37,0.7251,0.1418,0.0002,0.0443,0.0443
38,0.7393,0.1364,0.0002,0.0414,0.0414
39,0.7528,0.1311,0.0002,0.0386,0.0386
40,0.7658,0.1259,0.0001,0.0361,0.0361
41,0.7782,0.1208,0.0001,0.0336,0.0336
42,0.7899,0.1159,0.0001,0.0314,0.0314
43,0.8012,0.1111,0.0001,0.0292,0.0292
44,0.8117,0.1065,0.0001,0.0272,0.0272
45,0.8219,0.102,0.0001,0.0254,0.0254
46,0.8314,0.0977,0,0.0236,0.0236
47,0.8405,0.0935,0,0.022,0.022
48,0.8491,0.0894,0,0.0205,0.0205
49,0.8572,0.0855,0,0.0191,0.0191
50,0.8649,0.0818,0,0.0178,0.0178
51,0.8722,0.0782,0,0.0165,0.0165
52,0.8791,0.0747,0,0.0154,0.0154
53,0.8856,0.0714,0,0.0143,0.0143
54,0.8918,0.0682,0,0.0133,0.0133
55,0.8976,0.0652,0,0.0124,0.0124
56,0.9032,0.0622,0,0.0115,0.0115
57,0.9084,0.0594,0,0.0107,0.0107
58,0.9134,0.0567,0,0.01,0.01
59,0.918,0.0541,0,0.0093,0.0093
60,0.9225,0.0516,0,0.0086,0.0086
61,0.9267,0.0493,0,0.008,0.008
62,0.9306,0.047,0,0.0075,0.0075
63,0.9344,0.0448,0,0.0069,0.0069
64,0.9379,0.0427,0,0.0064,0.0064
65,0.9413,0.0408,0,0.006,0.006
66,0.9445,0.0389,0,0.0056,0.0056
67,0.9475,0.037,0,0.0052,0.0052
68,0.9503,0.0353,0,0.0048,0.0048
69,0.953,0.0336,0,0.0045,0.0045
70,0.9556,0.032,0,0.0041,0.0041
71,0.958,0.0305,0,0.0038,0.0038
72,0.9602,0.0291,0,0.0036,0.0036
73,0.9623,0.0277,0,0.0033,0.0033
74,0.9644,0.0264,0,0.0031,0.0031
75,0.9663,0.0251,0,0.0029,0.0029
76,0.9682,0.0239,0,0.0027,0.0027
77,0.9698,0.0228,0,0.0025,0.0025
78,0.9715,0.0217,0,0.0023,0.0023
79,0.973,0.0206,0,0.0021,0.0021
80,0.9745,0.0196,0,0.002,0.002
81,0.9759,0.0187,0,0.0018,0.0018
82,0.9771,0.0178,0,0.0017,0.0017
83,0.9784,0.0169,0,0.0016,0.0016
84,0.9795,0.0161,0,0.0015,0.0015
85,0.9806,0.0153,0,0.0014,0.0014
86,0.9817,0.0146,0,0.0012,0.0012
87,0.9827,0.0139,0,0.0011,0.0011
88,0.9836,0.0132,0,0.0011,0.0011
89,0.9845,0.0126,0,0.001,0.001
90,0.9852,0.0119,0,0.001,0.001
91,0.9861,0.0114,0,0.0009,0.0009
92,0.9868,0.0107,0,0.0008,0.0008
93,0.9874,0.0102,0,0.0008,0.0008
94,0.9881,0.0098,0,0.0007,0.0007
95,0.9888,0.0093,0,0.0006,0.0006
96,0.9895,0.0089,0,0.0005,0.0005
97,0.9899,0.0084,0,0.0006,0.0006
98,0.9906,0.008,0,0.0005,0.0005
99,0.9909,0.0076,0,0.0005,0.0005
100,0.9916,0.0073,0,0.0004,0.0004
