,E-9-1-T,M-19-0-G,M-3-1-G,M-63-0-A,N-13-1-T,NSP10-57-2-C,NSP12-600-2-T,NSP14-42-0-G,NSP3-1892-0-A,NSP3-38-1-G,NSP3-889-2-G,NSP4-492-1-T,NSP5-132-1-A,NSP6-189-0-G,ORF3a-64-2-T,ORF6-20-0-C,S-1146-2-T,S-339-1-A,S-371-0-C,S-371-1-T,S-373-0-C,S-375-1-T,S-417-2-T,S-440-2-G,S-446-0-A,S-477-1-A,S-478-1-A,S-484-1-C,S-493-1-G,S-496-0-A,S-498-1-G,S-505-0-C,S-547-1-A,S-655-0-T,S-67-1-T,S-679-2-G,S-764-2-A,S-796-0-T,S-856-2-A,S-954-2-T,S-969-2-A,S-981-0-T
E-9-1-T,-41.41671739184383,0.37244897598736043,0.014275343858104798,0.6328753905023945,0.4266410586742289,0.2860022119816344,0.09355685158643504,0.718017111134453,0.21586553057518765,0.33315408632879046,0.2335311865400882,0.2852913202899189,0.7464828978645659,0.2718971344959709,0.7151415659405098,0.7792618875217723,0.5255317877181468,0.7094132107743101,-0.14997468322567417,0.3265469705696796,0.3424354127493185,0.3023806672285862,0.04375752546860776,0.12214874489230888,-0.00926758677361383,0.11073515941961919,0.12208751983219117,0.27892029502967536,0.12264886087843373,-0.2152515050100532,0.1838966457909078,0.24352843824123385,0.24406319561839643,0.5476277580990804,0.11303564088998155,0.8636854067027494,0.4409665105667753,0.6980200159763624,0.2396651849640286,0.8559582922742999,0.8502713314921351,0.2005740304312056
M-19-0-G,0.37244897598736193,-41.41671739184383,0.6786092205720576,1.659495932246485,0.0649835851201411,0.10436382629736272,0.00039526463487418663,1.1155173557808742,0.05776833040034056,-0.024574787949948954,0.10261773274558113,0.09972451216947592,0.5079515054809095,0.10942303790589525,0.3616450397284977,0.3760482530039606,1.4406979760769711,0.327433234703817,-0.05662028310527642,0.35242109804649685,0.12873325173794686,0.08878438459769727,0.14725231988682833,0.826562460857476,-0.11010857481693542,0.07022082099007301,0.05080992516788037,0.12566234090657996,0.25165696920737235,-0.0562153340642,0.15274802730521486,-0.024373168886461453,0.0990973913829328,0.2646505852108741,0.3496331703239531,0.38547222063734826,1.084602567957342,0.30575029899550554,0.10850090523502585,0.42019956349902854,0.3462559695799875,0.022296014311809206
M-3-1-G,0.014275343858105884,0.678609220572065,-41.41671739184383,0.740935345191424,0.14051641031424797,0.4144745078763303,0.36636857469768747,-0.023588612311244768,0.3378894512022151,0.7439838390508602,0.38297370299355954,-0.02338327068427653,0.7666796679083753,0.391011890790045,-0.01857045823776235,0.16245543636388493,0.11768672496744925,0.042096980091566684,0.6246288872484189,-0.050255959934939365,0.03570434200154322,0.056063218448220105,0.5565884045279147,-0.1505811137605692,0.3996756374977225,0.04324726852037522,0.0015892853777286695,0.01182373014584862,-0.059449155013614495,0.25671652272463363,-0.09676474778811642,-0.06267119018920889,0.857768444317747,-0.000791307986628997,0.267327759991805,-0.019526867899712457,0.3902677924786641,-0.05790633271446246,0.6648460050045238,-0.11629652130220036,-0.11003922319038788,0.5854926559420635
M-63-0-A,0.6328753905023976,1.65949593224649,0.740935345191412,-41.41671739184383,0.19092963586966505,0.2685868325485515,0.03006523803280093,0.8601836767370119,0.14704427130390318,0.1478855606628464,0.20487714903261944,0.21077333432867676,0.4038201696736047,0.2040357770247613,0.6140292717274943,0.6822838280004305,0.29230284014222924,0.5565466163428076,-0.2619237542555561,0.3416906194168019,0.23245881473432436,0.21848895949931005,0.4737721528019746,0.6094844565522894,0.11264234481096533,0.2069237979423368,0.15647423222774134,0.25949537553276686,-0.04201711422293603,-0.15697576376867006,0.07827909444635302,0.1482635604070951,0.21434927136010073,0.5212462895873956,0.1072481128373191,0.7484230655484205,1.8270528414820917,0.517813454255466,0.2102672712753473,0.7175621745477894,0.6212726896599012,0.11505612508798051
N-13-1-T,0.4266410586742206,0.06498358512014105,0.14051641031424617,0.1909296358696731,-41.41671739184383,0.21881399998881307,0.06334819724646587,0.2871845876894093,0.16273007647013646,0.12855452662437303,0.18115242545061075,0.42339412543614763,0.3333624059023221,0.1818110045921481,0.4231956102893121,0.32652623542679704,0.18223429239125052,0.2989212037236309,-0.07881009604142589,0.08787971400097595,0.12156952015452394,0.12444506330261926,-0.03490528158814255,0.0980510598102214,-0.03800025865775007,0.867484132770391,-0.047857123356899886,-0.002498432788435533,-0.025180108540545053,-0.14419043129481635,0.00018914612804858121,0.08095539527458377,0.20478752054225982,0.35434101467883866,0.12004126777824163,0.4138178819982324,0.26714307254291864,0.4571855004299106,0.20866004604045388,0.4615603159051441,0.5145994015996427,0.25062934500987377
NSP10-57-2-C,0.2860022119816385,0.10436382629736267,0.41447450787634477,0.26858683254854576,0.21881399998881443,-41.41671739184383,0.5239469279210033,0.3703345670426842,1.401601378799589,1.0023347738019466,1.4713420973176916,0.07442023634052411,0.23540726784393348,1.8771799233230164,0.42801453515981963,0.426720736485574,0.25909345708476095,0.2228972978299032,0.6659326966532372,-0.08094967223025969,-0.0058299136484229845,0.0006454296857670593,-0.13549056406769308,-0.10692473035330688,0.5048317234749272,-0.006817976216325617,-0.0006122390792271225,-0.0024374472771498687,-0.08894723948609842,0.4333656224825726,-0.09325572017374259,0.01574779429537654,1.2388473868581078,0.2874083137737277,0.6355699676237818,0.4163267277948419,0.06357341957139993,0.1679506660909729,1.3160867149616078,0.3287897929171152,0.2691571114356656,1.2841205117650405
NSP12-600-2-T,0.0935568515864409,0.0003952646348711111,0.36636857469769685,0.03006523803278816,0.06334819724646029,0.5239469279210062,-41.41671739184383,0.06834295551858675,0.35096928836132896,0.5037981642164445,0.38171933178941786,0.1012258021553056,0.3086542576113913,0.4840743664523116,0.10292092025078256,0.09454323268817488,0.1892780727561865,0.059713619412206764,0.2746946820889887,-0.047359341966946626,-0.019893710227257538,-0.026590717718771223,-0.017955734567962765,-0.01865890594479131,0.2081477835591974,0.0011059668269397347,0.14117975909219888,-0.022478900974979243,-0.028358871281874254,0.168074533335689,-0.050458448090460954,-0.03934683499812148,0.6255984493922148,0.09435986226694014,0.22775185415642607,0.07749830721908697,0.061616714960558504,0.10645172583614695,0.6674190651977988,0.04107499000674804,0.06536129629209951,0.5193482921604121
NSP14-42-0-G,0.7180171111344487,1.1155173557808584,-0.023588612311247436,0.8601836767370032,0.2871845876894122,0.3703345670426873,0.06834295551859132,-41.41671739184383,0.2275149957124266,0.2004155976240618,0.4372301196872285,0.31699082401636863,0.7201944608180828,0.35119132951503557,0.8902905489683206,0.9076325864697494,0.6888911091527891,0.6720847923436932,-0.20561131598463128,0.21749408345606347,0.25766860646910394,0.3252540035275782,0.13406604183223716,0.24746484108919284,0.14391279062727325,0.16157106015113348,0.1373930709473304,0.28690353435177135,0.3196824876026434,-0.31490356064326713,0.3461136829942397,0.1972899291773184,0.2843279250375275,0.6443022560117332,0.16813277555167622,0.8676383384865044,0.8167298163391608,0.6952596744621462,0.26304708096391727,0.9452315812216424,0.8733940549777333,0.18834665572318024
NSP3-1892-0-A,0.2158655305751885,0.057768330400334605,0.33788945120220926,0.14704427130389652,0.16273007647013926,1.4016013787995927,0.3509692883613194,0.22751499571242043,-41.41671739184383,1.4869254191687078,2.0049611193095456,0.10117548248198019,0.20355869406860683,1.4038788399627151,0.25991618096198466,0.2889931695344872,0.18110424565775643,0.13677476239440467,0.508495757746587,-0.11335239061530591,-0.006858596592760419,-0.002768860223943442,-0.16557030268249062,-0.06244510340349389,0.5223977266768841,-0.04607482187215524,0.022963359990812542,-0.026011652122661696,-0.05114648934721138,0.38724300358973673,-0.06210628015897522,-0.03335232365092351,0.8392733007976949,0.2176714396062017,0.5735780379883075,0.2975686071527558,0.14747302067109383,0.8754573947088126,1.071406288946462,0.2333154934188126,0.18483882730185103,0.9619776683334534
NSP3-38-1-G,0.3331540863287894,-0.024574787949943507,0.7439838390508676,0.14788556066287226,0.12855452662438346,1.0023347738019248,0.5037981642164372,0.20041559762406438,1.4869254191687185,-41.41671739184383,1.94288417634904,0.0967389262799007,0.7895910870402744,1.0464994895125794,0.19812904633887715,0.22032526963597415,0.16376479381678175,0.1642202764667331,0.611664716638721,-0.07798973468698832,-0.05407996466684306,-0.04919577497552563,0.0910899252251816,-0.06295981053835227,0.3595467419219877,0.014828348161420394,0.05825255705840045,0.03567784773670427,-0.024812743764555445,0.3107689442709959,-0.06251681190090955,-0.010085691692096103,0.9823849555475027,0.18395538882788132,0.35098946061451025,0.22393934231042606,0.15319191831407944,0.10312783803527262,0.7232689747195113,0.16545896221598508,0.20900107152525496,0.8731453053706442
NSP3-889-2-G,0.2335311865400802,0.10261773274557166,0.38297370299355604,0.2048771490326025,0.181152425450609,1.4713420973176667,0.38171933178941003,0.43723011968721853,2.0049611193095536,1.9428841763490674,-41.41671739184383,0.12817270884499898,0.1903321130759344,1.510813315267005,0.3349706162238993,0.35458203684879314,0.22487682295967684,0.19582219503665277,0.5679913341694692,-0.055575384507140425,-0.0156461480140519,0.018222878997844402,-0.13846196181935175,-0.016066086239516438,0.4063856953816999,-0.03555934133824323,0.009016439131448851,0.05518249975610848,-0.008345321142545185,0.3203794445739393,-0.03127717975586293,-0.03827040750433028,1.0031718238419622,0.29086323251719787,0.6502701334173792,0.36283266731858593,0.04848470769677165,0.12279809013916242,1.0551411306940934,0.31150987735337027,0.24809392701214358,0.9802407427661329
NSP4-492-1-T,0.2852913202899141,0.0997245121694768,-0.023383270684270187,0.2107733343286734,0.42339412543614335,0.07442023634052701,0.10122580215530633,0.3169908240163741,0.10117548248198575,0.09673892627988956,0.12817270884500112,-41.41671739184383,0.36618992368037584,0.10996843506913982,0.3187024706450048,0.28985187590192474,0.30757422839315923,0.27370408177322464,-0.09228121727956722,0.12473893864038448,0.11901245555493505,0.11034401403829039,-0.012726468576040985,0.10217551998826153,-0.003923847888483871,-0.12704696624209785,1.1844097001311922,-0.0405693379852082,-0.04392232293087788,-0.20329273464936556,-0.012057966164735819,-0.010568506083455075,0.09338822880645763,0.05153631279267865,-0.010259708548396643,0.23525210461419327,0.19225196925588547,0.24741135090947153,0.2431923836091582,0.3199238850297501,0.3469464420548958,0.023600285583070067
