,N-235-1-T,N-3-0-C,N-3-1-T,N-3-2-A,NSP12-412-2-T,NSP12-613-2-T,NSP12-912-2-C,NSP2-36-2-T,NSP3-1089-2-T,NSP3-1412-1-C,NSP3-183-1-T,NSP3-890-1-A,ORF8-27-0-T,ORF8-52-1-T,ORF8-73-1-G,S-1118-0-C,S-501-0-T,S-570-1-A,S-716-1-T,S-982-0-G
N-235-1-T,1.0,-0.009593195717527935,-0.008845946299724128,-0.012155082148100812,-0.020282687339190145,-0.023989780119949445,-0.03156524944662069,-0.022872569844659504,-0.014976614814829507,-0.021420000160823807,-0.02199140789304643,-0.019193981194135554,-0.017357450208447454,-0.016920632586189244,-0.02700284515377196,-0.01915950129560754,-0.009614158752811571,-0.02385888708158469,-0.017115138606699012,-0.024160693183762967
N-3-0-C,-0.009593195717528084,1.0,-0.14106757224567998,-0.0975688302585926,-0.00873673685510236,-0.008721324960871938,-0.009423481180835578,-0.0072477827748132495,-0.006225788377951041,-0.008609921050255072,-0.008717097237255795,-0.007099201683436617,-0.009018591859063263,-0.01205605558764216,-0.014658301475550462,-0.008496339560998047,0.00043227286419782554,-0.010460607752632387,-0.00017520774747720847,-0.010380167010946849
N-3-1-T,-0.008845946299723621,-0.14106757224567965,1.0,-0.11360627675756106,-0.008409156558444267,-0.007858884711654189,-0.008853114516662788,-0.006456331403405648,-0.005338175493094532,-0.007584737361195292,-0.008054602456667139,-0.006288854233732511,-0.00840162986654941,-0.007174397469520427,-0.01312397350409615,-0.011367071829161888,-0.00151720511993378,-0.009624558846031337,-0.009317253819543956,-0.008698809309913921
N-3-2-A,-0.01215508214810055,-0.09756883025859252,-0.1136062767575595,1.0,-0.012158109191146215,-0.011713692464644118,-0.013473151411979387,-0.008398256063473872,-0.007193386133500726,-0.010103861105386682,-0.010370876679709134,-0.008123095824196958,-0.011928645433715853,-0.011213682243746992,-0.019624711993531396,-0.01593950061283444,-0.0022515782622135514,-0.014072153991767545,-0.013461439744534958,-0.012861543794544293
NSP12-412-2-T,-0.020282687339190263,-0.008736736855101629,-0.008409156558444616,-0.012158109191146257,1.0,-0.03186165547344711,-0.02732258341300955,-0.02431741343223762,-0.015456911765681172,-0.026467339082338028,-0.020306312249551137,-0.018844398257247843,-0.019169310366923403,-0.013291144074916491,-0.022234065410783297,-0.024520002654160718,-0.007016724245434593,-0.031525299737944205,-0.01447770138413913,-0.029118251559836564
NSP12-613-2-T,-0.023989780119949764,-0.008721324960873522,-0.00785888471165379,-0.01171369246464347,-0.03186165547344697,1.0,-0.031030424825765537,-0.025666512826046275,-0.017508935097798366,-0.025420049307292858,-0.02702019348847409,-0.025687334933540876,-0.017546709884650125,-0.013971233630270948,-0.02363358630071782,-0.023623145355753005,-0.010763102307229471,-0.028170155050013475,-0.017920649623618053,-0.03852623675747556
NSP12-912-2-C,-0.031565249446621806,-0.009423481180833469,-0.008853114516663148,-0.013473151411979562,-0.027322583413010772,-0.031030424825765655,1.0,-0.031818541654468464,-0.01989198155730753,-0.02311924809765194,-0.02459657913844795,-0.03267663937561115,-0.02527951562226733,-0.016533182138334997,-0.02823128186116215,-0.030656253873753106,-0.009437335173697884,-0.030715362211428437,-0.02156259031413092,-0.026326767729802435
NSP2-36-2-T,-0.022872569844659293,-0.007247782774812429,-0.00645633140340876,-0.008398256063473263,-0.024317413432235434,-0.025666512826043885,-0.03181854165446959,1.0,-0.021900493692002195,-0.027935036222691233,-0.029738917932299967,-0.02990552435807599,-0.01556632174037673,-0.012253176502012936,-0.01748840937526488,-0.020321078090839276,-0.006896053110247,-0.027780569049611792,-0.012478263303529873,-0.027508379933198334
NSP3-1089-2-T,-0.014976614814830107,-0.006225788377951801,-0.0053381754930943584,-0.007193386133501921,-0.0154569117656814,-0.01750893509779809,-0.01989198155730768,-0.02190049369200191,1.0,-0.030086858153062838,-0.021231755038649134,-0.03963180656048011,-0.017116230661842105,-0.013195219911948327,-0.017028890122243057,-0.020796942921723707,-0.009924445772464737,-0.016764545146257824,-0.02063738533541068,-0.017612622832672425
NSP3-1412-1-C,-0.021420000160823315,-0.008609921050254444,-0.007584737361194017,-0.010103861105386587,-0.026467339082337445,-0.025420049307292938,-0.023119248097650712,-0.027935036222692465,-0.03008685815306211,1.0,-0.02805623466329125,-0.028079466448444147,-0.01641499614881918,-0.009294298134854675,-0.02006678158084906,-0.019802340621453203,-0.007275412349784235,-0.026222318095475497,-0.014869979592995854,-0.02638693583030213
