,N-235-1-T,N-3-0-C,N-3-1-T,N-3-2-A,NSP12-412-2-T,NSP12-613-2-T,NSP12-912-2-C,NSP2-36-2-T,NSP3-1089-2-T,NSP3-1412-1-C,NSP3-183-1-T,NSP3-890-1-A,ORF8-27-0-T,ORF8-52-1-T,ORF8-73-1-G,S-1118-0-C,S-501-0-T,S-570-1-A,S-681-1-A,S-716-1-T,S-982-0-G
N-235-1-T,1.0,-0.034092956550273494,-0.03379758050180046,-0.03699267811750006,-0.043151134829205504,-0.04438012430071152,-0.04943432415356614,-0.0504450862637647,-0.04004139435132537,-0.0479065126903663,-0.05071894492497577,-0.04334663547581083,-0.0357736341345146,-0.03597550838189077,-0.041073780906812324,-0.03948856216424695,-0.03548606681162483,-0.045046895130163134,-0.023773903901304332,-0.03531640668421838,-0.04404729582512012
N-3-0-C,-0.03409295655027336,1.0,-0.14732328271545295,-0.12532588743198006,-0.033378461665992815,-0.03242720455005357,-0.03455495574792115,-0.03411543841539964,-0.028709842203336146,-0.029831619351159282,-0.034418741983353936,-0.029469685309711703,-0.037806405610262085,-0.034671828393024975,-0.04684616783348629,-0.03220982303506635,-0.019516672407828273,-0.0364170343093176,-0.018735050966033368,-0.02950090701278583,-0.032105660355130454
N-3-1-T,-0.03379758050180057,-0.1473232827154531,1.0,-0.1254911467468301,-0.0334488544071808,-0.03237659671624511,-0.03434121029735504,-0.034491685119728846,-0.02816221238542383,-0.028951176214584665,-0.03406851058451795,-0.029045148115263226,-0.0375895948566383,-0.034774884196356735,-0.046507732293447096,-0.03228889872108213,-0.019520822654415473,-0.03622953753628146,-0.018436907496813492,-0.028338643286465893,-0.031785333302932504
N-3-2-A,-0.0369926781174998,-0.12532588743197984,-0.12549114674683023,1.0,-0.036318149943053636,-0.035266313287383645,-0.03787576338820069,-0.03730428136966404,-0.031070682771433097,-0.03259369450408594,-0.03739322517531791,-0.032071401848804644,-0.04093312316857706,-0.03794155129967013,-0.050947662957865514,-0.03582185040010326,-0.021787366690194102,-0.03937097154820564,-0.020183507358526587,-0.031228687143360457,-0.034597161268035644
NSP12-412-2-T,-0.04315113482920515,-0.0333784616659927,-0.03344885440718086,-0.03631814994305336,1.0,-0.08594458275494454,-0.04908123596120139,-0.049683895456602734,-0.03831212870785603,-0.047625735338964775,-0.04710396148717478,-0.04062479875383369,-0.034540499625719555,-0.03250742822229609,-0.03969123183900892,-0.046914280399243544,-0.029803836603105878,-0.05203524271873764,-0.02614300827083045,-0.03919557968661855,-0.0489374829765752
NSP12-613-2-T,-0.044380124300711386,-0.03242720455005373,-0.03237659671624488,-0.03526631328738367,-0.0859445827549441,1.0,-0.047282958272057356,-0.049935010896535834,-0.04033422503420979,-0.04419343468433983,-0.05274341486936827,-0.04469837281485896,-0.03341166411522083,-0.033961027317333685,-0.0390311729975158,-0.04255976706751529,-0.03339068904456605,-0.05013160532860736,-0.02624345663856201,-0.04102210631698667,-0.049408570202964304
NSP12-912-2-C,-0.04943432415356614,-0.03455495574792131,-0.034341210297354846,-0.0378757633882009,-0.04908123596120177,-0.047282958272057314,1.0,-0.05615224537546988,-0.04411139599539332,-0.04107921215707188,-0.05166319612229226,-0.0525965258875083,-0.039762166421589154,-0.03727768395058879,-0.04583131284376243,-0.04948420997803997,-0.03428158921030984,-0.05074813925596001,-0.03285731787908926,-0.039591348928007634,-0.0428483218742243
NSP2-36-2-T,-0.05044508626376468,-0.034115438415398755,-0.0344916851197286,-0.03730428136966489,-0.04968389545660307,-0.04993501089653545,-0.056152245375469666,1.0,-0.04315952608825029,-0.04300579380285054,-0.0524125092340238,-0.0461103808253861,-0.035731173524042675,-0.033947440060535725,-0.040837034228555794,-0.046073227887826605,-0.035643192907214995,-0.05188823665472834,-0.028972231609803476,-0.03549103262853492,-0.04527963599075924
NSP3-1089-2-T,-0.04004139435132569,-0.028709842203336267,-0.02816221238542364,-0.03107068277143328,-0.03831212870785598,-0.04033422503421002,-0.04411139599539356,-0.04315952608824887,1.0,-0.05268857039869219,-0.045184782891064104,-0.06020288718302977,-0.04010555035299619,-0.03975353411015423,-0.03781047278307401,-0.04667657864556235,-0.037648612608536046,-0.042454167885320505,-0.03223779676132412,-0.042135027836253634,-0.03572005165705735
NSP3-1412-1-C,-0.047906512690366096,-0.02983161935115919,-0.028951176214584384,-0.03259369450408568,-0.04762573533896491,-0.044193434684339804,-0.04107921215707179,-0.04300579380285,-0.052688570398692305,1.0,-0.04562986154439821,-0.039894578630293755,-0.0314465316942778,-0.028994106628242165,-0.03497584339348374,-0.038404010988942555,-0.03031407513431457,-0.045707452949262095,-0.027061245852016212,-0.03471674142899822,-0.04088077818418434
NSP3-183-1-T,-0.05071894492497564,-0.034418741983353096,-0.03406851058451889,-0.03739322517531674,-0.047103961487173565,-0.05274341486936856,-0.05166319612229277,-0.05241250923402516,-0.0451847828910638,-0.04562986154439808,1.0,-0.04929715239675332,-0.03555712388946216,-0.03497848702417394,-0.04131235965056439,-0.041771297916555546,-0.03288687849479114,-0.051476382445150015,-0.026523520812540606,-0.037006132328108336,-0.048492089939995126
