,M-82-1-C,N-203-1-T,N-377-0-T,N-63-1-G,NSP12-671-0-A,NSP13-77-1-T,ORF3a-26-1-T,ORF7a-120-1-T,ORF7a-82-1-C,S-19-1-G,S-452-1-G,S-478-1-A,S-681-1-G,S-950-0-A
M-82-1-C,1.0,-0.039071484224053286,-0.024020430680223213,-0.04071709216935328,-0.029457450879683475,-0.03428300804288179,-0.04158070110890928,-0.03550467616728366,-0.036292005282779385,-0.0414973985256368,-0.031821880079151384,-0.03263431897642935,-0.04510315296664854,-0.03917813632488179
N-203-1-T,-0.039071484224053384,1.0,-0.04342775148490999,-0.044070047329403596,-0.03449385749062277,-0.029842763759890298,-0.05528693576995267,-0.038517631019825305,-0.046870190827855485,-0.046876586656171566,-0.041190973001848714,-0.04342234403808067,-0.054868023090452966,-0.03747107485458486
N-377-0-T,-0.024020430680223238,-0.043427751484910015,1.0,-0.033449647798078,-0.025598678163690762,-0.01918944328043657,-0.040572376685807536,-0.029791568323543564,-0.03911009411586136,-0.03589461650622756,-0.021114875426763085,-0.02974580005860597,-0.03698386163810464,-0.02885193556717655
N-63-1-G,-0.0407170921693532,-0.0440700473294034,-0.03344964779807804,1.0,-0.03378711638431129,-0.027772240692944473,-0.04458203149615291,-0.03982206249498741,-0.037171258077610646,-0.04466302559288537,-0.029583507809986063,-0.040917773330156344,-0.04012295263624758,-0.06601766714360326
NSP12-671-0-A,-0.029457450879683218,-0.03449385749062284,-0.02559867816369064,-0.033787116384311346,1.0,-0.0665244143379163,-0.03698781375751832,-0.03145306736836239,-0.027936545477754197,-0.03790823589278925,-0.023217363163509547,-0.033178363385096,-0.032328930416286226,-0.03005351933699745
NSP13-77-1-T,-0.03428300804288167,-0.029842763759890454,-0.0191894432804367,-0.027772240692944414,-0.06652441433791628,1.0,-0.03039892966805252,-0.026600429491213076,-0.02554409039662606,-0.03270165797813335,-0.03916044808021272,-0.026949623260130354,-0.031762458093909665,-0.02497738736445705
ORF3a-26-1-T,-0.04158070110890924,-0.05528693576995278,-0.040572376685807474,-0.04458203149615281,-0.03698781375751809,-0.030398929668052712,1.0,-0.03927381321754159,-0.04776460793919691,-0.046061586134624556,-0.04091617572197357,-0.04265017004034598,-0.05486692619429313,-0.041308176419071974
ORF7a-120-1-T,-0.03550467616728359,-0.03851763101982535,-0.029791568323543682,-0.03982206249498746,-0.031453067368362356,-0.02660042949121334,-0.039273813217541725,1.0,-0.08496317042756926,-0.042834396028838394,-0.02938808163846147,-0.041451910323232095,-0.03614584579460495,-0.03618397148195999
ORF7a-82-1-C,-0.036292005282779455,-0.0468701908278556,-0.03911009411586131,-0.037171258077610736,-0.02793654547775423,-0.025544090396626033,-0.0477646079391968,-0.08496317042756914,1.0,-0.041021749194234486,-0.03953476452124354,-0.04166595860793825,-0.04954069167864094,-0.03541811042101397
S-19-1-G,-0.04149739852563679,-0.04687658665617164,-0.03589461650622771,-0.04466302559288493,-0.037908235892789195,-0.03270165797813338,-0.04606158613462483,-0.04283439602883879,-0.0410217491942345,1.0,-0.03320325083877865,-0.04586758421528323,-0.04412297247415526,-0.04040525642200831
S-452-1-G,-0.031821880079151425,-0.0411909730018486,-0.021114875426763022,-0.029583507809985924,-0.0232173631635097,-0.039160448080212865,-0.04091617572197354,-0.029388081638461423,-0.039534764521243625,-0.03320325083877863,1.0,-0.05492326931700736,-0.03792327154795412,-0.030505876149595587
S-478-1-A,-0.032634318976429356,-0.04342234403808048,-0.029745800058605918,-0.04091777333015623,-0.03317836338509605,-0.02694962326013025,-0.04265017004034593,-0.041451910323232005,-0.041665958607938355,-0.045867584215283363,-0.0549232693170075,1.0,-0.041541784317131146,-0.03943710436787397
S-681-1-G,-0.04510315296664849,-0.05486802309045312,-0.03698386163810469,-0.0401229526362475,-0.03232893041628635,-0.03176245809390938,-0.054866926194293335,-0.036145845794605135,-0.04954069167864087,-0.044122972474155135,-0.037923271547953996,-0.04154178431713125,1.0,-0.04100501006196587
S-950-0-A,-0.03917813632488183,-0.03747107485458487,-0.028851935567176544,-0.06601766714360315,-0.030053519336997372,-0.02497738736445693,-0.04130817641907213,-0.03618397148195984,-0.03541811042101412,-0.04040525642200849,-0.03050587614959552,-0.03943710436787408,-0.04100501006196609,1.0
